,pdf_url,save_path
101,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2021/04/x_set_4.pdf,../jac/jac_38291f5843ba835036c0c02aa588cb82?e=9|*|||.pdf
102,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2020/01/class_8_set_II.pdf,../jac/jac_3c8269aec65868eec3add08cc9a9d988?e=10|*|||.pdf
103,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2019/12/Math_Set_1.pdf,../jac/jac_3d7b32b20beefc33b5b5c130a340403a?e=11|*|||.pdf
104,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2017/02/Latest-12th-Maths-set-1.pdf,../jac/jac_3f48b80f458c3188e9c4dd18c7c4b212?e=12|*|||.pdf
105,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2020/01/class_12_bmt_bst_act_etp.pdf,../jac/jac_413b4729c728be63d860eb49ded1106b?e=13|*|||.pdf
106,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2018/12/Class_8_Math_Set-5.pdf,../jac/jac_4481ce6f45edb3c8ccdeca0e1ae81ffc?e=14|*|||.pdf
107,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2017/02/Latest-12th-Maths-set-3.pdf,../jac/jac_4bab4d3f76b3963362860cdb8518a9fb?e=17|*|||.pdf
108,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2017/02/Latest-12th-Maths-set-9.pdf,../jac/jac_4fed4fc48653c285be07bde545ef7793?e=18|*|||.pdf
109,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2021/03/8_set2_2021.pdf,../jac/jac_51e0dae60f1945d4a2f730193be36809?e=19|*|||.pdf
110,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2017/02/Latest-Matric-2017-Maths-set-3.pdf,../jac/jac_5201ca7c74b126b9499c3b27e377ab06?e=0|*|||.pdf
111,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2018/12/Class_8_Math_SET_II.pdf,../jac/jac_57d0d2ba8b24dcc27a7a6840e47e08d2?e=1|*|||.pdf
